"Åñ Sorted by Index Futures,JGB Futures, Index Options (Put, Call), Options on 10-year JGB futures, Individual Options each in contract month numerical order.",,,,,,,,,,,
"Åñ ""Theoretical price"" is used in calculating the price range of J-NET trading until 4 p.m. of the trading day.",,,,,,,,,,,
Issue Code,Issue Name,PutÅ^Call,Contract Month,Strike Price,Settlement Price,Theoretical Price,Underlying Index,Volatility ,Interest Rate,Days until Maturity,Underlying Name
161120018,FUT_NK225_1612,,201612,,17350,17337,17336.42,,0.03,43,Nikkei 225
162030018,FUT_NK225_1703,,201703,,17310,17303,17336.42,,0.1064,134,Nikkei 225
162060018,FUT_NK225_1706,,201706,,17170,17181,17336.42,,0.1282,225,Nikkei 225
162090018,FUT_NK225_1709,,201709,,17130,17151,17336.42,,0.1282,316,Nikkei 225
162120018,FUT_NK225_1712,,201712,,17000,17044,17336.42,,0.1282,407,Nikkei 225
163030018,FUT_NK225_1803,,201803,,16960,17010,17336.42,,0.1282,498,Nikkei 225
163060018,FUT_NK225_1806,,201806,,16810,16889,17336.42,,0.1282,589,Nikkei 225
163120018,FUT_NK225_1812,,201812,,16660,16755,17336.42,,0.1282,778,Nikkei 225
164060018,FUT_NK225_1906,,201906,,16470,16602,17336.42,,0.1282,960,Nikkei 225
164120018,FUT_NK225_1912,,201912,,16330,16470,17336.42,,0.1282,1142,Nikkei 225
165060018,FUT_NK225_2006,,202006,,16130,16320,17336.42,,0.1282,1324,Nikkei 225
165120018,FUT_NK225_2012,,202012,,16010,16190,17336.42,,0.1282,1506,Nikkei 225
166060018,FUT_NK225_2106,,202106,,15790,16043,17336.42,,0.1282,1688,Nikkei 225
161110019,FUT_NK225M_1611,,201611,,17355,17336,17336.42,,0.0091,15,Nikkei 225
161120019,FUT_NK225M_1612,,201612,,17350,17337,17336.42,,0.03,43,Nikkei 225
162010019,FUT_NK225M_1701,,201701,,17320,17311,17336.42,,0.0573,78,Nikkei 225
162020019,FUT_NK225M_1702,,201702,,17315,17313,17336.42,,0.1064,106,Nikkei 225
